  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoil                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.500     Re =     0.810 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.9221   0.00802   0.00054  -0.2417   0.8113   0.5847  43.6937 235.1843
   0.500   0.9889   0.00808   0.00019  -0.2416   0.8023   0.5972  44.7955 236.3988
   1.000   1.0554   0.00817  -0.00029  -0.2414   0.7931   0.6073  45.8978 237.3920
   1.500   1.1202   0.00829  -0.00090  -0.2406   0.7831   0.6172  47.0763 238.3694
   2.000   1.1807   0.00845  -0.00168  -0.2389   0.7709   0.6253  48.4784 239.1732
   2.500   1.2439   0.00856  -0.00280  -0.2375   0.7581   0.6297  49.9328 239.6070
   3.000   1.2906   0.00871  -0.00421  -0.2324   0.7299   0.6345  53.0429 240.0899
   3.500   1.3247   0.00917  -0.00556  -0.2246   0.6875   0.6386  57.5267 240.4953
   4.000   1.3403   0.01049  -0.00655  -0.2138   0.6112   0.6437  65.2187 241.0104
   4.500   1.3255   0.01333  -0.00620  -0.1986   0.4954   0.6473  76.4393 241.3764
   5.000   1.3190   0.01661  -0.00556  -0.1862   0.3813   0.6518  87.5211 241.8288
   5.500   1.3056   0.02074  -0.00420  -0.1740   0.2284   0.6557 103.6076 242.2222
   6.000   1.2922   0.02539  -0.00228  -0.1628   0.0735   0.6596 125.1106 242.6104
   6.500   1.3182   0.02816  -0.00259  -0.1566   0.0444   0.6642 131.0910 243.0798
   7.000   1.3482   0.03085  -0.00329  -0.1510   0.0347   0.6686 133.4821 243.5278
   7.500   1.3743   0.03398  -0.00385  -0.1452   0.0295   0.6735 134.8996 244.0301
   8.000   1.3955   0.03762  -0.00407  -0.1391   0.0261   0.6775 135.9134 244.4435
   8.500   1.4120   0.04184  -0.00383  -0.1329   0.0236   0.6825 136.6933 244.9592
   9.000   1.4231   0.04665  -0.00298  -0.1266   0.0220   0.6864 137.1897 245.3578
   9.500   1.4348   0.05163  -0.00210  -0.1204   0.0204   0.6909 137.7308 245.8268
  10.000   1.4440   0.05705  -0.00066  -0.1143   0.0193   0.6949 138.1156 246.2485
  10.500   1.4450   0.06371   0.00309  -0.1081   0.0183   0.6989 138.4577 246.6673
  11.000   1.4316   0.07240   0.01015  -0.1038   0.0177   0.7027 138.6767 247.0572
  11.500   1.4077   0.08289   0.02028  -0.1021   0.0173   0.7057 138.8381 247.3740
