  
       XFOIL         Version 6.99
  
 Calculated polar for: NASA  NLF1015                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.500     Re =     0.810 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000   0.8359   0.00944  -0.00157  -0.2070   0.7145   0.6588  12.0303  50.9096
   0.500   0.8963   0.00967  -0.00156  -0.2061   0.7120   0.6632  12.0878  50.9951
   1.000   0.9581   0.00971  -0.00170  -0.2058   0.7082   0.6772  12.1745  51.2648
   1.500   1.0184   0.00982  -0.00198  -0.2048   0.7026   0.6871  12.3044  51.4562
   2.000   1.0811   0.00988  -0.00252  -0.2042   0.6958   0.6925  12.4600  51.5599
   2.500   1.1440   0.00985  -0.00336  -0.2034   0.6880   0.6972  12.6390  51.6514
   3.500   1.2306   0.00958  -0.00632  -0.1926   0.6199   0.7075  14.1780  51.8504
   4.000   1.2510   0.01051  -0.00717  -0.1835   0.5542   0.7112  15.6280  51.9220
   4.500   1.2293   0.01325  -0.00650  -0.1683   0.4589   0.7141  17.6823  51.9764
   5.000   1.2160   0.01670  -0.00520  -0.1566   0.3761   0.7198  19.4698  52.0897
   6.000   1.2023   0.02494  -0.00156  -0.1388   0.2065   0.7398  23.4433  52.4859
   6.500   1.1969   0.02966   0.00071  -0.1314   0.1160   0.7471  26.0430  52.6318
   7.000   1.1892   0.03497   0.00352  -0.1244   0.0114   0.7536  31.0976  52.7588
   7.500   1.2247   0.03769   0.00315  -0.1217   0.0081   0.7598  31.4849  52.8832
   8.000   1.2612   0.04045   0.00219  -0.1189   0.0067   0.7645  31.6557  52.9750
   8.500   1.2976   0.04338   0.00088  -0.1161   0.0064   0.7759  31.6886  53.2099
   9.000   1.3250   0.04719   0.00023  -0.1129   0.0065   0.7896  31.6783  53.4941
   9.500   1.3508   0.05131  -0.00061  -0.1096   0.0072   0.8010  31.5928  53.7304
  10.000   1.3664   0.05657  -0.00035  -0.1059   0.0074   0.8104  31.5678  53.9255
  10.500   1.3685   0.06361   0.00230  -0.1026   0.0076   0.8222  31.5403  54.1814
  11.000   1.3695   0.07090   0.00537  -0.0995   0.0079   0.8379  31.5081  54.5299
  11.500   1.3649   0.07922   0.01018  -0.0971   0.0082   0.8499  31.4757  54.7964
  12.500   1.3450   0.09876   0.02587  -0.0958   0.0087   0.8772  31.4127  55.4437
  13.000   1.3215   0.11106   0.03963  -0.0987   0.0089   0.8932  31.3891  55.8372
